Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
lblfire,UI,XUI Forge,,,Essence,,,,,,,,,,,,,,
lblice,UI,XUI Forge,,,Essence,,,,,,,,,,,,,,
lbllightning,UI,XUI Forge,,,Essence,,,,,,,,,,,,,,
lblunholy,UI,XUI Forge,,,Essence,,,,,,,,,,,,,,
lblholy,UI,XUI Forge,,,Essence,,,,,,,,,,,,,,

reqSorceryLevel01,progression,Attribute,,,"[ae92d5]Sorcery[-] Level 1",,,,,,,,,,,,,,
reqSorceryLevel02,progression,Attribute,,,"[ae92d5]Sorcery[-] Level 2, [2f9970]INITIATE[-]",,,,,,,,,,,,,,
reqSorceryLevel03,progression,Attribute,,,"[ae92d5]Sorcery[-] Level 3",,,,,,,,,,,,,,
reqSorceryLevel04,progression,Attribute,,,"[ae92d5]Sorcery[-] Level 4, [36dc2a]NOVICE[-]",,,,,,,,,,,,,,
reqSorceryLevel05,progression,Attribute,,,"[ae92d5]Sorcery[-] Level 5",,,,,,,,,,,,,,
reqSorceryLevel06,progression,Attribute,,,"[ae92d5]Sorcery[-] Level 6, [407fff]ADEPT[-]",,,,,,,,,,,,,,
reqSorceryLevel07,progression,Attribute,,,"[ae92d5]Sorcery[-] Level 7",,,,,,,,,,,,,,
reqSorceryLevel08,progression,Attribute,,,"[ae92d5]Sorcery[-] Level 8, [ba3fd0]EXPERT[-]",,,,,,,,,,,,,,
reqSorceryLevel09,progression,Attribute,,,"[ae92d5]Sorcery[-] Level 9",,,,,,,,,,,,,,
reqSorceryLevel10,progression,Attribute,,,"[ae92d5]Sorcery[-] Level 10, [e60000]MASTER[-]",,,,,,,,,,,,,,
reqSorceryFireLevel01,progression,Attribute,,,"[970000]Fire[-] Sorcery Level 1",,,,,,,,,,,,,,
reqSorceryFireLevel02,progression,Attribute,,,"[970000]Fire[-] Sorcery Level 2 ([2f9970]Initiate[-])",,,,,,,,,,,,,,
reqSorceryFireLevel03,progression,Attribute,,,"[970000]Fire[-] Sorcery Level 3",,,,,,,,,,,,,,
reqSorceryFireLevel04,progression,Attribute,,,"[970000]Fire[-] Sorcery Level 4 ([36dc2a]Novice[-])",,,,,,,,,,,,,,
reqSorceryFireLevel05,progression,Attribute,,,"[970000]Fire[-] Sorcery Level 5",,,,,,,,,,,,,,
reqSorceryFireLevel06,progression,Attribute,,,"[970000]Fire[-] Sorcery Level 6 ([407fff]Adept[-])",,,,,,,,,,,,,,
reqSorceryFireLevel07,progression,Attribute,,,"[970000]Fire[-] Sorcery Level 7",,,,,,,,,,,,,,
reqSorceryFireLevel08,progression,Attribute,,,"[970000]Fire[-] Sorcery Level 8 ([ba3fd0]Expert[-])",,,,,,,,,,,,,,
